#num_of_iter: 100
#num_of_exper: 1
#rows: 50
#cols: 50
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 3315125470139624379
#iter     f_C          f_C_corr          av_sum          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_final          f_cr_0s          f_cr_1s          
0         0.4984       0.0148            0.1386          0.1904          0.2080          0.2088        0.1992        0.1936         0.0000              0.0000                    0.0016           0.0024           
1         0.5040       0.0207            0.1423          0.1904          0.2108          0.2048        0.2008        0.1932         0.1484              0.1316                    0.0008           0.0028           
2         0.4804       0.0296            0.1455          0.1780          0.2196          0.1904        0.2072        0.2048         0.2124              0.1308                    0.0056           0.0016           
3         0.4684       0.0399            0.1500          0.1676          0.2344          0.2024        0.1956        0.2000         0.2192              0.1068                    0.0172           0.0020           
4         0.4448       0.0680            0.1591          0.1620          0.2592          0.2056        0.1800        0.1932         0.2732              0.1328                    0.0160           0.0016           
5         0.4296       0.0769            0.1597          0.1464          0.2924          0.1992        0.1836        0.1784         0.3196              0.1344                    0.0304           0.0020           
6         0.4036       0.1272            0.1787          0.1364          0.3192          0.1992        0.1632        0.1820         0.3260              0.1192                    0.0320           0.0008           
7         0.3684       0.1731            0.1978          0.1120          0.3668          0.1944        0.1516        0.1752         0.4316              0.1564                    0.0400           0.0024           
8         0.3308       0.1953            0.2071          0.0924          0.4132          0.1912        0.1364        0.1668         0.4848              0.1568                    0.0484           0.0016           
9         0.3052       0.2441            0.2249          0.0800          0.4532          0.1960        0.1056        0.1652         0.5604              0.1712                    0.0600           0.0024           
10        0.2800       0.3210            0.2595          0.0616          0.4832          0.2148        0.0916        0.1488         0.6100              0.1752                    0.0508           0.0000           
11        0.2616       0.3299            0.2586          0.0476          0.4956          0.2220        0.0836        0.1512         0.6740              0.1804                    0.0668           0.0012           
12        0.2384       0.3802            0.2837          0.0444          0.5220          0.2232        0.0676        0.1428         0.7164              0.1844                    0.0752           0.0000           
13        0.2236       0.3536            0.2671          0.0292          0.5536          0.2264        0.0660        0.1248         0.7640              0.1812                    0.1016           0.0004           
14        0.2144       0.4157            0.2967          0.0244          0.5916          0.2148        0.0536        0.1156         0.7612              0.1704                    0.0868           0.0004           
15        0.2116       0.4098            0.2883          0.0236          0.6092          0.2216        0.0384        0.1072         0.7912              0.1544                    0.0868           0.0004           
16        0.2008       0.4453            0.3034          0.0216          0.6148          0.2328        0.0308        0.1000         0.7804              0.1528                    0.0928           0.0000           
17        0.2012       0.4438            0.3058          0.0200          0.6168          0.2320        0.0276        0.1036         0.8008              0.1432                    0.0968           0.0012           
18        0.1880       0.4438            0.2965          0.0196          0.6288          0.2336        0.0224        0.0956         0.7844              0.1476                    0.0976           0.0004           
19        0.1916       0.4704            0.3149          0.0184          0.6396          0.2240        0.0240        0.0940         0.8108              0.1376                    0.0916           0.0000           
20        0.1852       0.4615            0.3025          0.0168          0.6472          0.2252        0.0204        0.0904         0.7976              0.1480                    0.0988           0.0004           
21        0.1832       0.4601            0.3141          0.0192          0.6660          0.2128        0.0208        0.0812         0.8064              0.1300                    0.1132           0.0000           
22        0.1816       0.4734            0.3090          0.0196          0.6680          0.2160        0.0192        0.0772         0.8056              0.1364                    0.0940           0.0004           
23        0.1828       0.4704            0.3108          0.0192          0.6736          0.2140        0.0184        0.0748         0.8060              0.1220                    0.1004           0.0000           
24        0.1780       0.4867            0.3236          0.0160          0.6996          0.1932        0.0196        0.0716         0.8120              0.1136                    0.1076           0.0012           
25        0.1796       0.4763            0.3150          0.0208          0.6800          0.2052        0.0196        0.0744         0.8052              0.1124                    0.1032           0.0000           
26        0.1744       0.4719            0.3148          0.0204          0.6792          0.2012        0.0204        0.0788         0.8080              0.1152                    0.1156           0.0000           
27        0.1800       0.4808            0.3174          0.0192          0.6788          0.1980        0.0208        0.0832         0.8096              0.1108                    0.1024           0.0000           
28        0.1828       0.5133            0.3352          0.0184          0.6788          0.2048        0.0212        0.0768         0.8044              0.1044                    0.0772           0.0000           
29        0.1756       0.4719            0.3177          0.0176          0.6796          0.1900        0.0208        0.0920         0.8056              0.0992                    0.1108           0.0000           
30        0.1800       0.5178            0.3324          0.0172          0.6812          0.1900        0.0200        0.0916         0.8132              0.0956                    0.0748           0.0000           
31        0.1776       0.4882            0.3296          0.0180          0.6724          0.1952        0.0184        0.0960         0.8032              0.0984                    0.1036           0.0000           
32        0.1672       0.4852            0.3221          0.0156          0.6556          0.2092        0.0164        0.1032         0.8136              0.1200                    0.1092           0.0000           
33        0.1744       0.4896            0.3300          0.0148          0.6376          0.2232        0.0180        0.1064         0.8060              0.1216                    0.1096           0.0008           
34        0.1704       0.4837            0.3168          0.0156          0.6276          0.2236        0.0176        0.1156         0.8092              0.1084                    0.1108           0.0004           
35        0.1720       0.4970            0.3257          0.0148          0.6300          0.2216        0.0192        0.1144         0.8072              0.1160                    0.1044           0.0000           
36        0.1748       0.5044            0.3397          0.0156          0.6216          0.2272        0.0152        0.1204         0.8088              0.1136                    0.0964           0.0004           
37        0.1680       0.5000            0.3295          0.0136          0.6332          0.2100        0.0156        0.1276         0.8064              0.1024                    0.1096           0.0000           
38        0.1760       0.5089            0.3392          0.0140          0.6228          0.2188        0.0160        0.1284         0.8084              0.1084                    0.0996           0.0000           
39        0.1728       0.5222            0.3528          0.0128          0.6328          0.2060        0.0140        0.1344         0.8004              0.1248                    0.0992           0.0000           
40        0.1692       0.5207            0.3447          0.0100          0.6216          0.2124        0.0132        0.1428         0.8044              0.1120                    0.1008           0.0000           
41        0.1668       0.5059            0.3385          0.0092          0.6296          0.2032        0.0164        0.1416         0.8048              0.1168                    0.1128           0.0000           
