#num_of_iter: 100
#num_of_exper: 1
#rows: 50
#cols: 50
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 3315125470139624379
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
0         0.1322        0.1245        0.1015        0.1207        0.0939        0.0920        0.1130        0.1207        0.1015        0.1044        0.0863        0.1185        0.1486        0.0984        0.1145        0.1024        0.1165        0.1104        0.1302         0.1116         0.1012         0.1054         0.0847         0.1364         0.1074         0.1012         0.1219         
1         0.1387        0.1094        0.0918        0.1211        0.1035        0.0840        0.1152        0.1348        0.1016        0.0996        0.0956        0.1315        0.1394        0.0956        0.1096        0.1016        0.1076        0.1195        0.1180         0.1118         0.1014         0.1014         0.0911         0.1304         0.1180         0.1056         0.1222         
2         0.1618        0.1092        0.1008        0.1113        0.0987        0.0777        0.1113        0.1303        0.0987        0.0869        0.1120        0.1409        0.1776        0.0753        0.1139        0.0830        0.0965        0.1139        0.0977         0.0977         0.1074         0.1035         0.0859         0.1543         0.1230         0.1172         0.1133         
3         0.1621        0.1186        0.0870        0.1107        0.1443        0.0850        0.0929        0.1146        0.0850        0.0920        0.1104        0.1534        0.1779        0.0675        0.1104        0.0818        0.0961        0.1104        0.0960         0.0880         0.0980         0.0980         0.0860         0.1600         0.1560         0.1000         0.1180         
4         0.1479        0.1518        0.0992        0.1128        0.1304        0.0817        0.0895        0.1148        0.0720        0.0911        0.1089        0.1622        0.1889        0.0711        0.0933        0.0778        0.0978        0.1089        0.1118         0.0911         0.0890         0.0890         0.0849         0.1449         0.1636         0.1035         0.1222         
5         0.1606        0.1546        0.0843        0.1345        0.1265        0.0743        0.0843        0.1124        0.0683        0.0806        0.1002        0.1830        0.2157        0.0675        0.0850        0.0654        0.0828        0.1198        0.1009         0.0874         0.0785         0.1009         0.0852         0.1300         0.1614         0.1076         0.1480         
6         0.1867        0.1386        0.0924        0.1386        0.1305        0.0683        0.0683        0.1084        0.0683        0.0858        0.0956        0.1789        0.2059        0.0637        0.0907        0.0784        0.0809        0.1201        0.0901         0.0901         0.0681         0.0923         0.0879         0.1143         0.1560         0.1011         0.2000         
7         0.2202        0.1399        0.0823        0.1255        0.1420        0.0782        0.0556        0.0988        0.0576        0.1003        0.1082        0.2269        0.1689        0.0607        0.0844        0.0712        0.0792        0.1003        0.0776         0.0868         0.0594         0.0936         0.0799         0.1142         0.1621         0.1142         0.2123         
8         0.2197        0.1130        0.0690        0.1464        0.1715        0.0921        0.0523        0.0816        0.0544        0.0938        0.0938        0.2669        0.1525        0.0645        0.0821        0.0704        0.0821        0.0938        0.0647         0.0743         0.0552         0.0911         0.0791         0.1151         0.1655         0.1055         0.2494         
9         0.2061        0.1204        0.0857        0.1551        0.1898        0.0980        0.0429        0.0592        0.0429        0.0909        0.1061        0.2879        0.1288        0.0682        0.0947        0.0644        0.0644        0.0947        0.0533         0.0581         0.0436         0.0847         0.0605         0.1162         0.1889         0.1259         0.2688         
10        0.2328        0.1415        0.0819        0.1788        0.1806        0.0670        0.0335        0.0484        0.0354        0.1310        0.1135        0.2838        0.0917        0.0655        0.0917        0.0786        0.0480        0.0961        0.0565         0.0591         0.0403         0.1022         0.0538         0.1102         0.1720         0.1344         0.2715         
11        0.2559        0.1532        0.0757        0.1820        0.1676        0.0667        0.0252        0.0486        0.0252        0.1244        0.1100        0.3445        0.0957        0.0526        0.0622        0.0718        0.0431        0.0957        0.0450         0.0265         0.0317         0.0899         0.0450         0.1349         0.2037         0.1349         0.2884         
12        0.2616        0.1272        0.0986        0.1864        0.1846        0.0627        0.0215        0.0394        0.0179        0.1893        0.1183        0.2959        0.0769        0.0473        0.0414        0.0828        0.0473        0.1006        0.0392         0.0420         0.0280         0.0728         0.0588         0.1232         0.2185         0.1036         0.3137         
13        0.2739        0.1413        0.0936        0.2032        0.1696        0.0601        0.0194        0.0283        0.0106        0.1576        0.1273        0.3576        0.0485        0.0485        0.0424        0.0848        0.0485        0.0848        0.0256         0.0385         0.0256         0.0897         0.0385         0.1154         0.2500         0.1122         0.3045         
14        0.2588        0.1434        0.1210        0.1918        0.1564        0.0652        0.0205        0.0223        0.0205        0.1194        0.1343        0.3433        0.0597        0.0597        0.0448        0.0896        0.0522        0.0970        0.0173         0.0311         0.0415         0.0830         0.0657         0.0934         0.2941         0.1211         0.2526         
15        0.2419        0.1209        0.1733        0.1805        0.1480        0.0794        0.0217        0.0181        0.0162        0.0625        0.1979        0.3333        0.0729        0.0417        0.0625        0.0938        0.0417        0.0938        0.0149         0.0187         0.0373         0.0821         0.0522         0.0933         0.3172         0.1493         0.2351         
16        0.2680        0.1203        0.1581        0.2131        0.1392        0.0636        0.0172        0.0137        0.0069        0.0649        0.2078        0.2987        0.0519        0.0649        0.0519        0.1299        0.0260        0.1039        0.0080         0.0160         0.0280         0.0840         0.0640         0.0720         0.3320         0.1840         0.2120         
17        0.2948        0.1224        0.1414        0.2034        0.1431        0.0603        0.0190        0.0103        0.0052        0.0580        0.2029        0.3478        0.0290        0.0290        0.0580        0.1449        0.0290        0.1014        0.0077         0.0154         0.0193         0.0927         0.0618         0.1004         0.2780         0.2008         0.2239         
18        0.2500        0.1490        0.1267        0.2123        0.1627        0.0719        0.0171        0.0068        0.0034        0.0714        0.3571        0.1964        0.0000        0.0000        0.0714        0.1429        0.0357        0.1250        0.0084         0.0167         0.0209         0.0921         0.0837         0.0586         0.2803         0.2092         0.2301         
19        0.2214        0.1500        0.1429        0.2232        0.1607        0.0804        0.0125        0.0054        0.0036        0.0667        0.4167        0.1667        0.0000        0.0000        0.0500        0.1500        0.0333        0.1167        0.0085         0.0170         0.0213         0.0979         0.0766         0.0766         0.2085         0.2511         0.2426         
20        0.2345        0.1599        0.1368        0.2291        0.1599        0.0604        0.0107        0.0053        0.0036        0.0784        0.4510        0.1176        0.0000        0.0000        0.0588        0.1373        0.0196        0.1373        0.0088         0.0133         0.0221         0.0973         0.0929         0.0487         0.1991         0.2566         0.2611         
21        0.2105        0.1974        0.1410        0.2406        0.1316        0.0583        0.0094        0.0075        0.0038        0.0769        0.5192        0.0769        0.0000        0.0000        0.0577        0.1538        0.0000        0.1154        0.0049         0.0197         0.0246         0.1034         0.0837         0.0591         0.1478         0.3054         0.2512         
