#num_of_iter: 100
#num_of_exper: 1
#rows: 53
#cols: 53
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 1205451906834191397
#iter     f_C          f_C_corr          av_sum          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_final          f_cr_0s          f_cr_1s          
0         0.4940       0.0178            0.1426          0.2138          0.1922          0.1926        0.2015        0.1999         0.0000              0.0000                    0.0038           0.0012           
1         0.5298       0.0311            0.1478          0.2138          0.1992          0.1849        0.1938        0.2084         0.2199              0.1984                    0.0042           0.0096           
2         0.4783       0.0488            0.1488          0.2038          0.2172          0.1795        0.1861        0.2134         0.2380              0.1499                    0.0150           0.0035           
3         0.4717       0.0636            0.1545          0.1884          0.2468          0.1761        0.1742        0.2145         0.2684              0.1326                    0.0254           0.0046           
4         0.4218       0.0991            0.1689          0.1711          0.2745          0.1742        0.1657        0.2145         0.3418              0.1507                    0.0300           0.0031           
5         0.3925       0.1420            0.1831          0.1492          0.3214          0.1696        0.1569        0.2030         0.3818              0.1461                    0.0431           0.0023           
6         0.3606       0.2056            0.2091          0.1315          0.3483          0.1649        0.1511        0.2042         0.4821              0.1711                    0.0354           0.0004           
7         0.3264       0.2456            0.2191          0.1100          0.3891          0.1580        0.1449        0.1980         0.5490              0.1826                    0.0511           0.0012           
8         0.2876       0.2870            0.2350          0.0838          0.4141          0.1622        0.1338        0.2061         0.6390              0.2111                    0.0684           0.0015           
9         0.2637       0.3491            0.2594          0.0661          0.4579          0.1680        0.1246        0.1834         0.6682              0.1857                    0.0611           0.0000           
10        0.2372       0.3802            0.2725          0.0504          0.4971          0.1580        0.1184        0.1761         0.7393              0.1807                    0.0834           0.0019           
11        0.2199       0.4290            0.2931          0.0423          0.5179          0.1457        0.1184        0.1757         0.7643              0.1730                    0.0869           0.0000           
12        0.2195       0.4556            0.3120          0.0354          0.5240          0.1480        0.1323        0.1603         0.7882              0.1638                    0.0838           0.0035           
13        0.2099       0.4763            0.3191          0.0288          0.5594          0.1369        0.1257        0.1492         0.7997              0.1592                    0.0880           0.0000           
14        0.2061       0.5044            0.3321          0.0246          0.5563          0.1307        0.1307        0.1576         0.8005              0.1480                    0.0730           0.0004           
15        0.2007       0.4867            0.3283          0.0261          0.5686          0.1326        0.1334        0.1392         0.8005              0.1365                    0.0934           0.0004           
16        0.2072       0.5104            0.3376          0.0285          0.5579          0.1384        0.1457        0.1296         0.8047              0.1519                    0.0681           0.0000           
17        0.2026       0.5148            0.3380          0.0277          0.5444          0.1457        0.1453        0.1369         0.8058              0.1346                    0.0811           0.0004           
18        0.1965       0.5148            0.3378          0.0269          0.5471          0.1519        0.1457        0.1284         0.8008              0.1430                    0.0884           0.0000           
19        0.2057       0.5503            0.3623          0.0250          0.5402          0.1642        0.1469        0.1238         0.7993              0.1330                    0.0757           0.0012           
20        0.1899       0.5325            0.3481          0.0235          0.5452          0.1507        0.1465        0.1342         0.7966              0.1292                    0.0965           0.0004           
21        0.1992       0.5385            0.3548          0.0223          0.5186          0.1519        0.1630        0.1442         0.8105              0.1242                    0.0865           0.0004           
22        0.1988       0.5592            0.3748          0.0204          0.5117          0.1388        0.1769        0.1522         0.8001              0.1203                    0.0765           0.0000           
23        0.1926       0.5592            0.3735          0.0173          0.5129          0.1415        0.1772        0.1511         0.8016              0.1146                    0.0807           0.0000           
24        0.1888       0.5592            0.3599          0.0177          0.5063          0.1461        0.1761        0.1538         0.8005              0.1084                    0.0754           0.0000           
25        0.1992       0.5680            0.3753          0.0200          0.4979          0.1480        0.1853        0.1488         0.8035              0.1084                    0.0696           0.0000           
26        0.1907       0.5636            0.3715          0.0173          0.4821          0.1630        0.1845        0.1530         0.7997              0.1077                    0.0796           0.0000           
27        0.1965       0.5754            0.3789          0.0158          0.4591          0.1653        0.1992        0.1607         0.7978              0.1115                    0.0750           0.0000           
28        0.1918       0.5710            0.3846          0.0181          0.4502          0.1630        0.2042        0.1646         0.7889              0.1134                    0.0807           0.0000           
29        0.1972       0.5828            0.3966          0.0169          0.4471          0.1469        0.2130        0.1761         0.7885              0.1077                    0.0777           0.0000           
30        0.1915       0.5680            0.3787          0.0165          0.4564          0.1419        0.2199        0.1653         0.7908              0.1084                    0.0838           0.0000           
31        0.1899       0.5769            0.3843          0.0135          0.4556          0.1419        0.2222        0.1669         0.7862              0.1084                    0.0815           0.0000           
