#num_of_iter: 100
#num_of_exper: 1
#rows: 53
#cols: 53
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 1205451906834191397
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
0         0.1238        0.1018        0.1238        0.1138        0.1038        0.0958        0.1018        0.1357        0.0998        0.1011        0.1145        0.1317        0.1260        0.0821        0.1202        0.0878        0.1069        0.1298        0.1250         0.1192         0.1096         0.1000         0.1173         0.1096         0.1019         0.0981         0.1192         
1         0.1185        0.0873        0.1268        0.1102        0.0956        0.0915        0.1102        0.1538        0.1060        0.0992        0.1210        0.1270        0.1250        0.0714        0.1210        0.0972        0.1210        0.1171        0.1162         0.1218         0.1218         0.0959         0.1052         0.0793         0.1107         0.1033         0.1458         
2         0.1478        0.0964        0.1478        0.1199        0.0814        0.0857        0.0921        0.1370        0.0921        0.1116        0.1260        0.1343        0.1198        0.0723        0.1095        0.1012        0.1095        0.1157        0.1081         0.1045         0.1099         0.0847         0.1081         0.0613         0.1027         0.0991         0.2216         
3         0.1681        0.0917        0.1419        0.1310        0.0721        0.1004        0.0895        0.1245        0.0808        0.1347        0.1148        0.1236        0.1148        0.0706        0.1148        0.0971        0.1148        0.1148        0.0932         0.0914         0.1022         0.0806         0.1039         0.0573         0.1183         0.0968         0.2563         
4         0.1766        0.0795        0.1611        0.1347        0.0728        0.0971        0.0751        0.1170        0.0861        0.1787        0.1369        0.1160        0.1090        0.0650        0.0974        0.0858        0.0998        0.1114        0.0842         0.0789         0.0914         0.0699         0.0968         0.0430         0.1111         0.1129         0.3118         
5         0.1565        0.0703        0.1995        0.1361        0.0816        0.1043        0.0680        0.1111        0.0726        0.1912        0.1716        0.1127        0.0931        0.0564        0.0931        0.0858        0.1054        0.0907        0.0777         0.0644         0.0701         0.0701         0.0909         0.0284         0.0928         0.1326         0.3731         
6         0.1702        0.0769        0.2471        0.1608        0.0606        0.0816        0.0583        0.0932        0.0513        0.1832        0.1985        0.1196        0.0865        0.0636        0.0763        0.0840        0.1043        0.0840        0.0678         0.0546         0.0659         0.0584         0.0866         0.0207         0.0979         0.1337         0.4143         
7         0.2019        0.0560        0.2798        0.1630        0.0438        0.0779        0.0414        0.0876        0.0487        0.2228        0.2069        0.1300        0.0769        0.0557        0.0690        0.0769        0.0902        0.0716        0.0563         0.0311         0.0641         0.0544         0.0835         0.0175         0.0757         0.1592         0.4583         
8         0.1991        0.0569        0.3104        0.1967        0.0355        0.0640        0.0403        0.0569        0.0403        0.3218        0.2040        0.1236        0.0603        0.0374        0.0632        0.0575        0.0747        0.0575        0.0410         0.0168         0.0466         0.0429         0.1101         0.0205         0.0821         0.1399         0.5000         
9         0.2105        0.0526        0.2906        0.2037        0.0664        0.0549        0.0366        0.0481        0.0366        0.3920        0.1790        0.1019        0.0556        0.0401        0.0802        0.0556        0.0525        0.0432        0.0335         0.0126         0.0419         0.0377         0.1069         0.0168         0.0797         0.1468         0.5241         
10        0.2555        0.0657        0.2530        0.2068        0.0925        0.0414        0.0219        0.0292        0.0341        0.5000        0.1266        0.1169        0.0390        0.0227        0.0714        0.0584        0.0390        0.0260        0.0240         0.0109         0.0284         0.0306         0.1179         0.0153         0.0677         0.1659         0.5393         
11        0.2691        0.0739        0.2507        0.1768        0.1187        0.0422        0.0132        0.0343        0.0211        0.6071        0.0747        0.0877        0.0325        0.0097        0.0909        0.0519        0.0325        0.0130        0.0153         0.0088         0.0241         0.0153         0.0919         0.0044         0.0656         0.1422         0.6324         
12        0.2727        0.0390        0.2623        0.1584        0.1221        0.0779        0.0130        0.0364        0.0182        0.6483        0.0959        0.0756        0.0203        0.0058        0.0727        0.0436        0.0291        0.0087        0.0048         0.0048         0.0168         0.0144         0.0863         0.0024         0.0480         0.1463         0.6763         
13        0.2837        0.0309        0.2444        0.1685        0.1067        0.1067        0.0112        0.0309        0.0169        0.6606        0.0826        0.0856        0.0275        0.0061        0.0734        0.0398        0.0214        0.0031        0.0026         0.0052         0.0180         0.0103         0.0696         0.0000         0.0954         0.1340         0.6649         
14        0.2000        0.0000        0.2912        0.1676        0.1559        0.1176        0.0118        0.0382        0.0176        0.7029        0.0824        0.0618        0.0206        0.0118        0.0647        0.0382        0.0147        0.0029        0.0000         0.0049         0.0146         0.0049         0.0659         0.0000         0.0829         0.1585         0.6683         
15        0.2232        0.0000        0.3449        0.1623        0.1072        0.0957        0.0116        0.0377        0.0174        0.7291        0.0749        0.0548        0.0231        0.0115        0.0720        0.0288        0.0058        0.0000        0.0000         0.0055         0.0166         0.0055         0.0497         0.0000         0.0663         0.1685         0.6878         
