#num_of_iter: 100
#num_of_exper: 1
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.3
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 2557797826341802628
#iter     f_C          f_C_corr          av_sum          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_final          f_cr_0s          f_cr_1s          optim_solut          
0         0.5071       0.0089            0.1349          0.2003          0.2011          0.2084        0.2007        0.1895         0.0000              0.0000                    0.0015           0.5048           0.26                 
1         0.3729       0.0710            0.1688          0.2053          0.1961          0.2011        0.2026        0.1949         0.1200              0.1119                    0.0050           0.5060           0.26                 
2         0.3522       0.0902            0.1693          0.1799          0.2184          0.2011        0.1984        0.2022         0.4752              0.3745                    0.0242           0.4783           0.26                 
3         0.3080       0.1494            0.1839          0.1488          0.2553          0.2199        0.1811        0.1949         0.4852              0.3118                    0.0704           0.3972           0.26                 
4         0.2810       0.2219            0.2096          0.1161          0.2814          0.2388        0.1757        0.1880         0.5729              0.3245                    0.1107           0.3372           0.26                 
5         0.2518       0.2914            0.2394          0.0784          0.3183          0.2484        0.1703        0.1845         0.6778              0.3349                    0.1580           0.2599           0.26                 
6         0.2318       0.3417            0.2601          0.0550          0.3629          0.2484        0.1661        0.1676         0.7255              0.2926                    0.2149           0.2042           0.26                 
7         0.2176       0.3950            0.2785          0.0419          0.3860          0.2388        0.1553        0.1780         0.7586              0.2687                    0.2238           0.1696           0.26                 
8         0.1880       0.4393            0.2916          0.0304          0.4275          0.2307        0.1488        0.1626         0.7889              0.2472                    0.2676           0.1211           0.26                 
9         0.1999       0.4423            0.2969          0.0242          0.4652          0.2165        0.1426        0.1515         0.8032              0.2222                    0.2868           0.1173           0.26                 
