#num_of_iter: 100
#num_of_exper: 1
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.3
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 2557797826341802628
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
0         0.0978        0.1033        0.1347        0.1125        0.1089        0.1218        0.1199        0.0904        0.1107        0.1015        0.1245        0.1149        0.1130        0.0996        0.1188        0.1034        0.1073        0.1169        0.1116         0.0933         0.1095         0.1379         0.1034         0.1075         0.0994         0.1258         0.1116         
1         0.0937        0.1109        0.1300        0.1185        0.1109        0.1281        0.1185        0.0746        0.1147        0.1044        0.1309        0.1233        0.1120        0.0968        0.1252        0.0987        0.1025        0.1063        0.1183         0.0848         0.1203         0.1341         0.0947         0.1124         0.1085         0.1223         0.1045         
2         0.1090        0.1281        0.1625        0.1338        0.0860        0.0918        0.0765        0.0631        0.1491        0.1376        0.1512        0.1298        0.1143        0.0717        0.1163        0.1027        0.1008        0.0756        0.0875         0.0684         0.1046         0.1312         0.0722         0.1369         0.1464         0.1540         0.0989         
3         0.1556        0.1696        0.1731        0.1259        0.1066        0.0612        0.0542        0.0577        0.0962        0.1826        0.1847        0.1401        0.0892        0.0786        0.0977        0.0934        0.0807        0.0531        0.0809         0.0552         0.0966         0.1065         0.0789         0.1460         0.1598         0.1578         0.1183         
4         0.1965        0.1755        0.1546        0.1337        0.1304        0.0564        0.0403        0.0258        0.0870        0.2188        0.1969        0.1379        0.0875        0.0656        0.0985        0.0678        0.0832        0.0438        0.0613         0.0389         0.0879         0.1022         0.0675         0.1677         0.1820         0.1738         0.1186         
5         0.2152        0.1703        0.1455        0.1687        0.1424        0.0495        0.0217        0.0155        0.0712        0.2867        0.2980        0.0903        0.0632        0.0451        0.0519        0.0429        0.0722        0.0497        0.0500         0.0333         0.0583         0.0875         0.0646         0.1938         0.1729         0.2000         0.1396         
6         0.2430        0.1873        0.1362        0.1672        0.1563        0.0449        0.0170        0.0046        0.0433        0.3333        0.3171        0.0625        0.0486        0.0301        0.0440        0.0394        0.0648        0.0602        0.0436         0.0229         0.0596         0.0803         0.0482         0.1560         0.1766         0.2133         0.1995         
7         0.2689        0.1836        0.1111        0.2045        0.1498        0.0242        0.0097        0.0000        0.0483        0.4381        0.3119        0.0545        0.0396        0.0272        0.0322        0.0272        0.0495        0.0198        0.0259         0.0194         0.0475         0.0626         0.0454         0.1425         0.1857         0.2721         0.1987         
8         0.2550        0.1850        0.1100        0.2300        0.1567        0.0100        0.0083        0.0000        0.0450        0.5401        0.2739        0.0698        0.0129        0.0155        0.0284        0.0258        0.0258        0.0078        0.0236         0.0213         0.0331         0.0520         0.0355         0.1300         0.2033         0.3215         0.1797         
9         0.2309        0.2149        0.0782        0.2718        0.1563        0.0089        0.0036        0.0000        0.0355        0.6146        0.2399        0.0485        0.0054        0.0054        0.0270        0.0270        0.0243        0.0081        0.0178         0.0178         0.0305         0.0355         0.0406         0.1396         0.1574         0.3756         0.1853         
