# Simulation parameters
# ----------------------------------------
# M rows = 51
# N cols = 51
# p_init_C = 0.500000
# sharing = False
# ----------------------------------------
# competition type:
# roulette = False
# tournament = True
# ----------------------------------------
# strategies:
# all-C = 0.200000
# all-D = 0.200000
# k-D = 0.200000
# k-C = 0.200000
# k-DC = 0.200000
# k_var (from to)
# min = 0 max = 8
# ----------------------------------------
# mutation:
# p_state_mut = 0.000000
# p_strat_mut = 0.000000
# p_0_neigh_mut = 0.300000
# p_1_neigh_mut = 0.100000
# ----------------------------------------
# synch_prob = 0.200000
# optimal_num_1s = 676
# ----------------------------------------
# seed = 5789302786441754
# num_of_iter = 200
# num_of_exper = 5
# ----------------------------------------
# debug = False
# read_CA_state_deb = False
# read_CA_strat_deb = False
# ----------------------------------------
# test_1 = False
# test_2 = False
# test_3 = False
# ----------------------------------------
# payoff function:
# d: 1.000000	c: 0.000000
# b: 1.200000	a: 0.100000
# ----------------------------------------

# Exper 1
#  1             2              3                4                5                6                7               8             9             10            11                12                    13                 14
# iter          f_C          f_C_corr          av_pay          f_cr_0s          f_cr_1s          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_fin       optim_solut
     0         0.49            0.02             0.00             0.00             0.00            0.20            0.22           0.20          0.20           0.19             0.00                  0.00                0.26
     1         0.45            0.01             0.14             0.00             0.53            0.18            0.28           0.18          0.18           0.18             0.30                  0.28                0.26
     2         0.43            0.02             0.14             0.01             0.49            0.16            0.34           0.17          0.16           0.17             0.30                  0.22                0.26
     3         0.42            0.02             0.14             0.01             0.46            0.16            0.35           0.16          0.16           0.17             0.27                  0.20                0.26
     4         0.41            0.03             0.14             0.04             0.45            0.15            0.36           0.16          0.16           0.17             0.26                  0.19                0.26
     5         0.39            0.03             0.14             0.04             0.44            0.15            0.36           0.16          0.16           0.17             0.28                  0.20                0.26
     6         0.38            0.04             0.14             0.05             0.41            0.14            0.38           0.16          0.15           0.17             0.30                  0.22                0.26
     7         0.37            0.05             0.15             0.05             0.40            0.13            0.40           0.15          0.15           0.18             0.31                  0.23                0.26
     8         0.37            0.05             0.15             0.06             0.38            0.12            0.39           0.15          0.15           0.18             0.34                  0.26                0.26
     9         0.36            0.05             0.15             0.05             0.38            0.12            0.40           0.15          0.14           0.19             0.30                  0.22                0.26
    10         0.34            0.06             0.15             0.06             0.38            0.11            0.42           0.14          0.13           0.19             0.35                  0.28                0.26
    11         0.34            0.07             0.16             0.07             0.36            0.10            0.43           0.14          0.13           0.20             0.36                  0.28                0.26
    12         0.33            0.07             0.16             0.07             0.34            0.10            0.43           0.14          0.13           0.20             0.38                  0.30                0.26
    13         0.32            0.05             0.16             0.06             0.34            0.10            0.45           0.14          0.12           0.20             0.39                  0.31                0.26
    14         0.31            0.07             0.15             0.07             0.33            0.09            0.45           0.14          0.12           0.20             0.36                  0.28                0.26
    15         0.31            0.07             0.16             0.07             0.32            0.09            0.46           0.13          0.12           0.21             0.40                  0.32                0.26
    16         0.29            0.09             0.16             0.08             0.31            0.09            0.47           0.12          0.12           0.21             0.43                  0.35                0.26
    17         0.28            0.10             0.17             0.07             0.29            0.08            0.47           0.12          0.12           0.21             0.44                  0.37                0.26
    18         0.28            0.10             0.17             0.08             0.28            0.08            0.46           0.12          0.12           0.22             0.47                  0.40                0.26
    19         0.27            0.12             0.17             0.08             0.27            0.08            0.47           0.11          0.11           0.23             0.51                  0.43                0.26
    20         0.27            0.12             0.18             0.09             0.26            0.07            0.48           0.11          0.10           0.24             0.52                  0.44                0.26
    21         0.27            0.11             0.19             0.10             0.26            0.06            0.48           0.10          0.10           0.25             0.55                  0.47                0.26
    22         0.28            0.09             0.18             0.09             0.26            0.06            0.48           0.10          0.09           0.26             0.55                  0.47                0.26
    23         0.27            0.10             0.17             0.08             0.28            0.06            0.48           0.11          0.09           0.26             0.48                  0.40                0.26
    24         0.28            0.11             0.17             0.08             0.27            0.06            0.48           0.11          0.08           0.27             0.50                  0.42                0.26
    25         0.27            0.11             0.17             0.07             0.27            0.06            0.47           0.11          0.09           0.28             0.50                  0.42                0.26
    26         0.26            0.12             0.18             0.09             0.26            0.06            0.47           0.10          0.09           0.28             0.50                  0.42                0.26
    27         0.26            0.11             0.18             0.09             0.25            0.05            0.47           0.10          0.09           0.28             0.52                  0.44                0.26
    28         0.26            0.11             0.18             0.09             0.25            0.05            0.48           0.10          0.09           0.28             0.53                  0.46                0.26
    29         0.25            0.13             0.18             0.08             0.25            0.05            0.48           0.10          0.09           0.29             0.53                  0.45                0.26
