# Simulation parameters
# ----------------------------------------
# M rows = 51
# N cols = 51
# p_init_C = 0.500000
# sharing = False
# ----------------------------------------
# competition type:
# roulette = False
# tournament = True
# ----------------------------------------
# strategies:
# all-C = 0.200000
# all-D = 0.200000
# k-D = 0.200000
# k-C = 0.200000
# k-DC = 0.200000
# k_var (from to)
# min = 0 max = 8
# ----------------------------------------
# mutation:
# p_state_mut = 0.000000
# p_strat_mut = 0.000000
# p_0_neigh_mut = 0.300000
# p_1_neigh_mut = 0.100000
# ----------------------------------------
# synch_prob = 0.200000
# optimal_num_1s = 676
# ----------------------------------------
# seed = 5789302786441754
# num_of_iter = 200
# num_of_exper = 5
# ----------------------------------------
# debug = False
# read_CA_state_deb = False
# read_CA_strat_deb = False
# ----------------------------------------
# test_1 = False
# test_2 = False
# test_3 = False
# ----------------------------------------
# payoff function:
# d: 1.000000	c: 0.000000
# b: 1.200000	a: 0.100000
# ----------------------------------------

#  1          2          3            4               5             6             7            8             9            10            11           12           13          14           15         16        17          18        19         20          21            22              23                 24                   25
# iter     av_f_C     std_f_C    av_f_C_corr    std_f_C_corr    av_av_pay    std_av_pay    av_f_cr_0s   std_f_cr_0s   av_f_cr_1s   std_f_cr_1s   av_f_allC   std_f_allC   av_f_allD   std_f_allD   av_f_kD   std_f_kD    av_f_kC   std_f_kC   av_f_kDC   std_f_kDC   av_f_strat_ch   std_f_strat_ch   av_f_strat_ch_fin   std_f_strat_ch_fin
     0      0.50        0.01         0.01           0.00           0.00         0.00          0.00         0.00          0.00          0.00         0.20        0.01         0.20        0.01        0.20      0.00       0.20       0.00       0.19        0.01         0.00             0.00               0.00                 0.00
     1      0.46        0.01         0.01           0.00           0.14         0.00          0.00         0.00          0.54          0.01         0.19        0.01         0.27        0.01        0.18      0.00       0.19       0.01       0.18        0.01         0.26             0.03               0.25                 0.03
     2      0.44        0.00         0.02           0.00           0.14         0.00          0.01         0.00          0.50          0.00         0.17        0.01         0.33        0.01        0.17      0.00       0.17       0.01       0.16        0.01         0.29             0.01               0.21                 0.01
     3      0.42        0.01         0.03           0.01           0.14         0.00          0.02         0.00          0.47          0.01         0.16        0.01         0.34        0.01        0.17      0.01       0.17       0.01       0.16        0.01         0.31             0.03               0.23                 0.02
     4      0.40        0.01         0.04           0.01           0.14         0.00          0.03         0.01          0.45          0.01         0.15        0.01         0.35        0.02        0.17      0.01       0.17       0.01       0.16        0.01         0.30             0.03               0.22                 0.03
     5      0.39        0.01         0.04           0.01           0.15         0.00          0.03         0.00          0.43          0.01         0.14        0.01         0.36        0.02        0.17      0.01       0.17       0.01       0.16        0.01         0.33             0.04               0.25                 0.04
     6      0.38        0.01         0.04           0.00           0.15         0.00          0.05         0.01          0.41          0.00         0.14        0.01         0.37        0.02        0.16      0.00       0.17       0.01       0.16        0.01         0.32             0.04               0.24                 0.04
     7      0.37        0.01         0.05           0.00           0.15         0.00          0.05         0.01          0.40          0.01         0.13        0.01         0.38        0.02        0.16      0.01       0.16       0.01       0.17        0.01         0.33             0.03               0.25                 0.03
     8      0.37        0.01         0.04           0.00           0.15         0.00          0.06         0.01          0.39          0.01         0.13        0.01         0.38        0.02        0.16      0.01       0.16       0.01       0.17        0.01         0.35             0.02               0.27                 0.02
     9      0.36        0.01         0.05           0.00           0.15         0.00          0.06         0.01          0.38          0.01         0.12        0.01         0.39        0.02        0.16      0.01       0.16       0.01       0.17        0.01         0.33             0.03               0.25                 0.03
    10      0.34        0.02         0.05           0.01           0.15         0.00          0.06         0.01          0.38          0.02         0.11        0.02         0.40        0.03        0.16      0.01       0.15       0.02       0.17        0.01         0.36             0.02               0.28                 0.02
    11      0.34        0.02         0.06           0.01           0.15         0.00          0.07         0.00          0.36          0.02         0.11        0.02         0.41        0.04        0.16      0.01       0.15       0.02       0.17        0.02         0.35             0.03               0.28                 0.03
    12      0.33        0.02         0.07           0.01           0.15         0.00          0.07         0.00          0.35          0.02         0.10        0.01         0.42        0.03        0.16      0.01       0.15       0.01       0.17        0.02         0.37             0.04               0.29                 0.04
    13      0.32        0.02         0.06           0.01           0.16         0.01          0.07         0.01          0.35          0.02         0.10        0.01         0.42        0.03        0.16      0.01       0.15       0.02       0.17        0.02         0.41             0.04               0.33                 0.04
    14      0.32        0.02         0.07           0.02           0.15         0.00          0.07         0.01          0.33          0.02         0.10        0.01         0.43        0.03        0.16      0.01       0.15       0.02       0.17        0.02         0.40             0.04               0.32                 0.04
    15      0.31        0.02         0.07           0.01           0.16         0.01          0.08         0.01          0.32          0.02         0.09        0.01         0.43        0.04        0.16      0.02       0.15       0.02       0.17        0.02         0.40             0.05               0.32                 0.05
    16      0.31        0.02         0.08           0.01           0.16         0.01          0.08         0.00          0.32          0.02         0.08        0.01         0.44        0.03        0.16      0.02       0.15       0.02       0.17        0.02         0.42             0.06               0.34                 0.05
