#num_of_iter: 100
#num_of_exper: 3
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False

#iter     av_f_C          std_f_C          av_f_C_corr         std_f_C_corr         av_av_pay          std_av_pay          av_f_cr_0s          std_f_cr_0s          av_f_cr_1s          std_f_cr_1s          av_f_allC          std_f_allC          av_f_allD          std_f_allD          av_f_kD           std_f_kD           av_f_kC           std_f_kC           av_f_kDC           std_f_kDC           av_f_strat_ch          std_f_strat_ch          av_f_strat_ch_final          std_f_strat_ch_final          
0         1.5056          1.7385           0.0296              0.0343               0.4268             0.4928              0.0058              0.0068               0.0038              0.0045               0.6052             0.6988              0.5986             0.6914              0.5782            0.6677             0.6086            0.7028             0.6094             0.7037              0.0000                 0.0000                  0.0000                       0.0000                        
1         1.5506          1.7905           0.0680              0.0797               0.4320             0.4989              0.0296              0.0344               0.0388              0.0450               0.6178             0.7139              0.6063             0.7003              0.5729            0.6615             0.5925            0.6842             0.6105             0.7052              0.6870                 0.7940                  0.6198                       0.7163                        
2         1.4491          1.6734           0.1302              0.1518               0.4466             0.5158              0.0769              0.0896               0.0215              0.0255               0.5779             0.6676              0.6624             0.7653              0.5755            0.6647             0.5805            0.6704             0.6036             0.6971              0.7216                 0.8353                  0.4517                       0.5249                        
3         1.3725          1.5854           0.2160              0.2519               0.4744             0.5480              0.1492              0.1738               0.0231              0.0277               0.5286             0.6107              0.7463             0.8628              0.5894            0.6806             0.5421            0.6261             0.5936             0.6857              0.8193                 0.9488                  0.4233                       0.4921                        
4         1.2987          1.5001           0.3003              0.3481               0.5022             0.5801              0.2107              0.2445               0.0211              0.0249               0.4798             0.5543              0.8278             0.9577              0.5982            0.6909             0.5044            0.5827             0.5898             0.6813              0.9489                 1.1005                  0.4141                       0.4810                        
5         1.1899          1.3751           0.3876              0.4488               0.5388             0.6222              0.3145              0.3651               0.0158              0.0186               0.4225             0.4883              0.9266             1.0729              0.5948            0.6873             0.4764            0.5509             0.5798             0.6698              1.1200                 1.2975                  0.4402                       0.5120                        
6         1.0942          1.2642           0.4882              0.5667               0.5681             0.6565              0.4068              0.4701               0.0181              0.0211               0.3641             0.4210              1.0177             1.1798              0.6178            0.7145             0.4248            0.4918             0.5755             0.6652              1.3249                 1.5337                  0.4921                       0.5704                        
7         0.9885          1.1438           0.6864              0.7974               0.6465             0.7470              0.5152              0.5979               0.0108              0.0129               0.3199             0.3705              1.1296             1.3096              0.6301            0.7293             0.3902            0.4524             0.5302             0.6131              1.4929                 1.7289                  0.5040                       0.5846                        
8         0.9277          1.0731           0.8210              0.9517               0.6951             0.8032              0.6052              0.7017               0.0135              0.0159               0.2641             0.3067              1.2361             1.4339              0.6590            0.7631             0.3368            0.3912             0.5040             0.5838              1.7286                 2.0014                  0.5290                       0.6128                        
9         0.7958          0.9222           0.9749              1.1318               0.7512             0.8688              0.7709              0.8937               0.0042              0.0057               0.2134             0.2480              1.3437             1.5595              0.6920            0.8028             0.2914            0.3393             0.4594             0.5333              1.9212                 2.2222                  0.5606                       0.6488                        
10        0.7593          0.8794           1.0873              1.2605               0.8050             0.9309              0.8304              0.9617               0.0035              0.0046               0.1703             0.1998              1.4437             1.6755              0.6824            0.7900             0.2657            0.3100             0.4379             0.5101              2.0907                 2.4199                  0.5832                       0.6753                        
11        0.7036          0.8160           1.2500              1.4483               0.8681             1.0036              0.9393              1.0887               0.0031              0.0043               0.1346             0.1596              1.5409             1.7881              0.6897            0.7991             0.2441            0.2854             0.3906             0.4559              2.1622                 2.5021                  0.5329                       0.6170                        
12        0.6774          0.7847           1.2973              1.5023               0.8746             1.0112              0.9504              1.0999               0.0019              0.0025               0.1092             0.1302              1.5609             1.8122              0.6997            0.8106             0.2357            0.2758             0.3945             0.4618              2.2614                 2.6146                  0.5167                       0.5977                        
13        0.6348          0.7353           1.3476              1.5597               0.8992             1.0392              1.0261              1.1878               0.0000              0.0000               0.0930             0.1108              1.5767             1.8303              0.7101            0.8225             0.2364            0.2772             0.3837             0.4496              2.2741                 2.6279                  0.5033                       0.5824                        
14        0.6282          0.7269           1.3994              1.6190               0.9154             1.0578              1.0361              1.1979               0.0015              0.0022               0.0880             0.1046              1.6082             1.8664              0.7101            0.8217             0.2145            0.2532             0.3791             0.4448              2.2960                 2.6528                  0.4525                       0.5247                        
15        0.5994          0.6927           1.3920              1.6109               0.9171             1.0599              1.0953              1.2654               0.0000              0.0000               0.0761             0.0897              1.6536             1.9175              0.7013            0.8112             0.2115            0.2504             0.3576             0.4201              2.3391                 2.7018                  0.4371                       0.5067                        
16        0.5959          0.6894           1.4231              1.6444               0.9294             1.0737              1.0757              1.2447               0.0012              0.0016               0.0723             0.0853              1.6794             1.9505              0.6936            0.8036             0.2130            0.2540             0.3418             0.4029              2.3610                 2.7269                  0.4325                       0.4999                        
17        0.5817          0.6720           1.4837              1.7141               0.9502             1.0977              1.1123              1.2853               0.0004              0.0005               0.0654             0.0769              1.7067             1.9821              0.6786            0.7861             0.2145            0.2564             0.3349             0.3960              2.3914                 2.7617                  0.4295                       0.4978                        
18        0.5679          0.6559           1.4601              1.6865               0.9415             1.0873              1.1346              1.3113               0.0004              0.0005               0.0604             0.0707              1.7043             1.9775              0.6951            0.8051             0.2288            0.2721             0.3114             0.3668              2.3941                 2.7645                  0.4287                       0.4961                        
19        0.5659          0.6535           1.5030              1.7358               0.9601             1.1090              1.1180              1.2916               0.0004              0.0005               0.0592             0.0686              1.6882             1.9603              0.7051            0.8173             0.2380            0.2853             0.3095             0.3644              2.4125                 2.7858                  0.4337                       0.5016                        
20        0.5725          0.6610           1.5459              1.7855               0.9872             1.1402              1.0919              1.2621               0.0004              0.0005               0.0581             0.0672              1.7074             1.9813              0.6801            0.7881             0.2484            0.2971             0.3060             0.3592              2.4121                 2.7853                  0.3752                       0.4343                        
21        0.5694          0.6575           1.5725              1.8160               1.0105             1.1670              1.0961              1.2665               0.0000              0.0000               0.0538             0.0622              1.7290             2.0059              0.6578            0.7614             0.2684            0.3211             0.2910             0.3430              2.4237                 2.7986                  0.3779                       0.4370                        
22        0.5609          0.6477           1.5266              1.7632               0.9935             1.1475              1.1069              1.2791               0.0000              0.0000               0.0515             0.0597              1.7313             2.0063              0.6436            0.7444             0.2799            0.3343             0.2937             0.3437              2.4037                 2.7756                  0.3768                       0.4360                        
23        0.5559          0.6420           1.5518              1.7921               0.9990             1.1539              1.0930              1.2635               0.0000              0.0000               0.0473             0.0550              1.7305             2.0071              0.6217            0.7202             0.3053            0.3639             0.2953             0.3466              2.4275                 2.8031                  0.3787                       0.4391                        
24        0.5752          0.6642           1.6228              1.8742               1.0511             1.2141              1.0588              1.2242               0.0012              0.0016               0.0469             0.0547              1.7209             1.9966              0.6009            0.6960             0.3149            0.3755             0.3164             0.3711              2.4006                 2.7720                  0.3695                       0.4283                        
25        0.5436          0.6277           1.5888              1.8348               1.0204             1.1785              1.0984              1.2694               0.0000              0.0000               0.0408             0.0475              1.7228             1.9991              0.5763            0.6669             0.3264            0.3899             0.3337             0.3921              2.4221                 2.7969                  0.3676                       0.4264                        
26        0.5648          0.6522           1.6050              1.8534               1.0287             1.1880              1.0519              1.2154               0.0000              0.0000               0.0427             0.0497              1.6790             1.9490              0.5713            0.6624             0.3568            0.4266             0.3502             0.4099              2.4283                 2.8040                  0.3595                       0.4165                        
27        0.5544          0.6402           1.6568              1.9136               1.0705             1.2366              1.0684              1.2346               0.0000              0.0000               0.0396             0.0463              1.6605             1.9271              0.5675            0.6578             0.3660            0.4364             0.3664             0.4278              2.4202                 2.7946                  0.3395                       0.3930                        
28        0.5513          0.6366           1.6391              1.8928               1.0624             1.2271              1.0484              1.2113               0.0000              0.0000               0.0354             0.0416              1.6101             1.8694              0.5875            0.6810             0.3837            0.4554             0.3833             0.4467              2.4237                 2.7986                  0.3353                       0.3877                        
29        0.5486          0.6335           1.6746              1.9337               1.0898             1.2586              1.0511              1.2144               0.0000              0.0000               0.0350             0.0409              1.5890             1.8451              0.5802            0.6728             0.4022            0.4773             0.3937             0.4576              2.4179                 2.7920                  0.3479                       0.4030                        
30        0.5448          0.6291           1.6435              1.8981               1.0695             1.2352              1.0450              1.2074               0.0000              0.0000               0.0323             0.0376              1.5540             1.8036              0.5902            0.6846             0.4245            0.5034             0.3991             0.4622              2.4156                 2.7893                  0.3399                       0.3931                        
31        0.5486          0.6335           1.6568              1.9133               1.0828             1.2504              1.0285              1.1884               0.0000              0.0000               0.0338             0.0394              1.5429             1.7897              0.5586            0.6477             0.4475            0.5293             0.4171             0.4827              2.4225                 2.7973                  0.3441                       0.3981                        
32        0.5479          0.6326           1.6716              1.9303               1.0908             1.2596              1.0142              1.1717               0.0000              0.0000               0.0315             0.0369              1.5294             1.7753              0.5386            0.6270             0.4667            0.5516             0.4337             0.5013              2.4029                 2.7747                  0.3445                       0.3990                        
33        0.5494          0.6344           1.6923              1.9541               1.1109             1.2829              1.0035              1.1592               0.0000              0.0000               0.0288             0.0338              1.5502             1.7983              0.5106            0.5946             0.4771            0.5638             0.4333             0.5006              2.3925                 2.7627                  0.3299                       0.3817                        
34        0.5525          0.6380           1.6923              1.9544               1.1140             1.2867              0.9865              1.1399               0.0015              0.0022               0.0273             0.0320              1.5217             1.7666              0.5044            0.5888             0.4994            0.5893             0.4471             0.5169              2.4118                 2.7849                  0.3126                       0.3625                        
35        0.5567          0.6429           1.7278              1.9953               1.1430             1.3199              0.9512              1.0991               0.0008              0.0011               0.0242             0.0284              1.5021             1.7434              0.5013            0.5843             0.5290            0.6245             0.4433             0.5124              2.4098                 2.7826                  0.3030                       0.3510                        
36        0.5552          0.6411           1.7426              2.0124               1.1433             1.3204              0.9569              1.1056               0.0000              0.0000               0.0269             0.0315              1.4894             1.7298              0.4864            0.5711             0.5375            0.6343             0.4598             0.5318              2.3995                 2.7707                  0.2991                       0.3468                        
37        0.5598          0.6464           1.7648              2.0380               1.1688             1.3498              0.9223              1.0660               0.0000              0.0000               0.0273             0.0322              1.4698             1.7058              0.4667            0.5484             0.5648            0.6653             0.4714             0.5448              2.3914                 2.7613                  0.3195                       0.3704                        
38        0.5590          0.6455           1.7604              2.0327               1.1605             1.3401              0.9166              1.0587               0.0000              0.0000               0.0250             0.0297              1.4725             1.7096              0.4710            0.5541             0.5694            0.6694             0.4621             0.5349              2.3756                 2.7432                  0.2945                       0.3410                        
39        0.5686          0.6566           1.8107              2.0908               1.2120             1.3995              0.8931              1.0317               0.0000              0.0000               0.0231             0.0277              1.4221             1.6523              0.4702            0.5548             0.6002            0.7057             0.4844             0.5605              2.3906                 2.7605                  0.2968                       0.3443                        
40        0.5636          0.6509           1.8047              2.0839               1.1993             1.3849              0.8858              1.0232               0.0000              0.0000               0.0223             0.0267              1.4268             1.6587              0.4487            0.5308             0.6059            0.7127             0.4963             0.5744              2.3860                 2.7551                  0.2845                       0.3302                        
41        0.5621          0.6490           1.8107              2.0908               1.2172             1.4056              0.8766              1.0129               0.0000              0.0000               0.0200             0.0242              1.3749             1.6001              0.4575            0.5401             0.6244            0.7348             0.5233             0.6055              2.3706                 2.7374                  0.2903                       0.3377                        
42        0.5602          0.6468           1.8225              2.1045               1.2159             1.4040              0.8666              1.0013               0.0000              0.0000               0.0196             0.0236              1.3495             1.5707              0.4429            0.5210             0.6448            0.7583             0.5433             0.6282              2.3683                 2.7347                  0.2860                       0.3324                        
43        0.5625          0.6495           1.8447              2.1303               1.2399             1.4320              0.8516              0.9848               0.0000              0.0000               0.0185             0.0224              1.3099             1.5275              0.4579            0.5380             0.6609            0.7775             0.5529             0.6402              2.3522                 2.7161                  0.2603                       0.3045                        
44        0.5632          0.6504           1.8476              2.1336               1.2467             1.4397              0.8293              0.9586               0.0000              0.0000               0.0188             0.0227              1.3014             1.5171              0.4402            0.5152             0.6817            0.8021             0.5579             0.6466              2.3406                 2.7027                  0.2730                       0.3168                        
45        0.5686          0.6566           1.8609              2.1491               1.2631             1.4587              0.8185              0.9469               0.0000              0.0000               0.0177             0.0217              1.2722             1.4828              0.4271            0.4989             0.7163            0.8430             0.5667             0.6577              2.3376                 2.6992                  0.2587                       0.3006                        
46        0.5652          0.6526           1.8417              2.1269               1.2526             1.4466              0.8181              0.9463               0.0008              0.0011               0.0173             0.0209              1.2391             1.4453              0.4310            0.5037             0.7332            0.8628             0.5794             0.6719              2.3364                 2.6979                  0.2603                       0.3021                        
47        0.5721          0.6606           1.8935              2.1866               1.2983             1.4994              0.7820              0.9050               0.0000              0.0000               0.0192             0.0234              1.2153             1.4190              0.4191            0.4882             0.7493            0.8832             0.5971             0.6929              2.3306                 2.6913                  0.2634                       0.3061                        
48        0.5636          0.6508           1.8595              2.1476               1.2757             1.4735              0.8012              0.9275               0.0000              0.0000               0.0177             0.0216              1.2134             1.4169              0.4160            0.4847             0.7605            0.8959             0.5925             0.6870              2.3299                 2.6903                  0.2457                       0.2850                        
49        0.5717          0.6602           1.9216              2.2191               1.3188             1.5231              0.7643              0.8844               0.0000              0.0000               0.0169             0.0209              1.2134             1.4167              0.3952            0.4607             0.7751            0.9133             0.5994             0.6947              2.3241                 2.6837                  0.2180                       0.2524                        
50        0.5659          0.6535           1.8950              2.1883               1.3251             1.5303              0.7566              0.8755               0.0000              0.0000               0.0142             0.0175              1.1922             1.3946              0.3995            0.4649             0.7924            0.9342             0.6017             0.6980              2.2991                 2.6548                  0.2307                       0.2682                        
51        0.5775          0.6668           1.9379              2.2379               1.3360             1.5430              0.7397              0.8564               0.0000              0.0000               0.0150             0.0187              1.1438             1.3410              0.4106            0.4772             0.8070            0.9514             0.6236             0.7234              2.3149                 2.6730                  0.2384                       0.2760                        
52        0.5855          0.6761           1.9408              2.2414               1.3436             1.5517              0.6959              0.8071               0.0000              0.0000               0.0158             0.0198              1.1396             1.3355              0.3914            0.4539             0.8170            0.9643             0.6363             0.7386              2.2899                 2.6442                  0.2276                       0.2634                        
53        0.5759          0.6651           1.9438              2.2449               1.3522             1.5621              0.7093              0.8230               0.0000              0.0000               0.0154             0.0194              1.1176             1.3106              0.3956            0.4587             0.8335            0.9838             0.6378             0.7403              2.3206                 2.6797                  0.2195                       0.2542                        
54        0.5744          0.6633           1.9689              2.2739               1.3733             1.5861              0.7059              0.8175               0.0000              0.0000               0.0154             0.0192              1.0857             1.2752              0.3872            0.4490             0.8543            1.0085             0.6574             0.7628              2.3057                 2.6624                  0.2203                       0.2548                        
55        0.5840          0.6744           1.9970              2.3061               1.3937             1.6096              0.6682              0.7745               0.0000              0.0000               0.0150             0.0191              1.0438             1.2259              0.4014            0.4645             0.8777            1.0361             0.6621             0.7685              2.2991                 2.6549                  0.2230                       0.2579                        
56        0.5805          0.6704           1.9749              2.2808               1.3829             1.5974              0.6597              0.7677               0.0000              0.0000               0.0150             0.0191              1.0423             1.2285              0.3756            0.4352             0.8947            1.0571             0.6724             0.7803              2.2914                 2.6460                  0.2222                       0.2569                        
57        0.5836          0.6740           1.9822              2.2897               1.3809             1.5952              0.6478              0.7541               0.0000              0.0000               0.0146             0.0187              1.0215             1.2059              0.3602            0.4172             0.9050            1.0697             0.6986             0.8102              2.2791                 2.6317                  0.1980                       0.2288                        
58        0.5805          0.6704           1.9615              2.2653               1.3898             1.6054              0.6390              0.7426               0.0000              0.0000               0.0150             0.0191              0.9962             1.1755              0.3568            0.4129             0.9196            1.0869             0.7124             0.8261              2.2814                 2.6344                  0.1884                       0.2177                        
59        0.5940          0.6859           2.0296              2.3442               1.4289             1.6506              0.6132              0.7132               0.0000              0.0000               0.0161             0.0207              0.9758             1.1504              0.3541            0.4093             0.9296            1.0993             0.7243             0.8406              2.2691                 2.6202                  0.1957                       0.2262                        
60        0.5955          0.6877           2.0473              2.3650               1.4355             1.6585              0.5963              0.6956               0.0000              0.0000               0.0142             0.0182              0.9635             1.1387              0.3572            0.4132             0.9427            1.1155             0.7224             0.8378              2.2664                 2.6171                  0.1903                       0.2199                        
61        0.5936          0.6855           2.0296              2.3441               1.4385             1.6616              0.5909              0.6894               0.0000              0.0000               0.0158             0.0201              0.9196             1.0887              0.3775            0.4365             0.9654            1.1430             0.7216             0.8375              2.2657                 2.6162                  0.1992                       0.2301                        
62        0.6005          0.6935           2.0695              2.3904               1.4776             1.7070              0.5556              0.6486               0.0000              0.0000               0.0146             0.0187              0.9135             1.0823              0.3514            0.4060             0.9869            1.1685             0.7336             0.8508              2.2568                 2.6060                  0.1922                       0.2221                        
63        0.5925          0.6842           2.0592              2.3784               1.4675             1.6955              0.5790              0.6761               0.0000              0.0000               0.0146             0.0187              0.9189             1.0898              0.3368            0.3895             0.9889            1.1710             0.7409             0.8592              2.2272                 2.5718                  0.1661                       0.1920                        
64        0.5998          0.6926           2.0769              2.3991               1.4840             1.7146              0.5513              0.6429               0.0012              0.0016               0.0138             0.0181              0.9185             1.0892              0.3187            0.3693             0.9942            1.1760             0.7547             0.8748              2.2334                 2.5789                  0.1653                       0.1911                        
65        0.5994          0.6922           2.0991              2.4250               1.5028             1.7363              0.5452              0.6392               0.0000              0.0000               0.0131             0.0175              0.9066             1.0776              0.3106            0.3599             1.0035            1.1878             0.7662             0.8883              2.2288                 2.5736                  0.1596                       0.1844                        
66        0.5994          0.6921           2.1050              2.4312               1.5002             1.7331              0.5244              0.6113               0.0000              0.0000               0.0115             0.0156              0.8889             1.0553              0.3153            0.3650             1.0035            1.1876             0.7809             0.9051              2.2199                 2.5634                  0.1561                       0.1804                        
67        0.5998          0.6926           2.0888              2.4126               1.5039             1.7373              0.5298              0.6186               0.0000              0.0000               0.0123             0.0164              0.8789             1.0487              0.3049            0.3536             1.0219            1.2100             0.7820             0.9069              2.2134                 2.5558                  0.1584                       0.1841                        
68        0.6078          0.7020           2.1420              2.4744               1.5273             1.7647              0.4917              0.5767               0.0000              0.0000               0.0123             0.0164              0.8512             1.0160              0.2953            0.3418             1.0423            1.2351             0.7989             0.9263              2.2115                 2.5536                  0.1615                       0.1872                        
69        0.6075          0.7015           2.1509              2.4845               1.5313             1.7692              0.4921              0.5769               0.0000              0.0000               0.0119             0.0161              0.8447             1.0073              0.3010            0.3484             1.0469            1.2409             0.7955             0.9224              2.2092                 2.5509                  0.1626                       0.1881                        
70        0.5986          0.6913           2.1213              2.4504               1.5201             1.7562              0.4975              0.5840               0.0000              0.0000               0.0138             0.0178              0.8255             0.9848              0.3007            0.3485             1.0607            1.2573             0.7993             0.9265              2.2030                 2.5438                  0.1680                       0.1947                        
71        0.6052          0.6988           2.1302              2.4610               1.5350             1.7737              0.4833              0.5672               0.0004              0.0005               0.0131             0.0169              0.8208             0.9796              0.2837            0.3296             1.0750            1.2736             0.8074             0.9364              2.1968                 2.5367                  0.1496                       0.1730                        
72        0.6071          0.7011           2.1627              2.4984               1.5483             1.7889              0.4787              0.5623               0.0000              0.0000               0.0127             0.0167              0.8278             0.9868              0.2710            0.3151             1.0707            1.2686             0.8178             0.9483              2.1861                 2.5243                  0.1365                       0.1576                        
73        0.6071          0.7010           2.1435              2.4760               1.5353             1.7738              0.4837              0.5661               0.0000              0.0000               0.0131             0.0171              0.8143             0.9712              0.2726            0.3169             1.0765            1.2748             0.8235             0.9555              2.2015                 2.5420                  0.1465                       0.1693                        
74        0.6040          0.6975           2.1464              2.4793               1.5497             1.7905              0.4764              0.5586               0.0000              0.0000               0.0131             0.0171              0.8008             0.9562              0.2603            0.3040             1.0896            1.2905             0.8362             0.9698              2.1992                 2.5394                  0.1430                       0.1654                        
75        0.6132          0.7081           2.1746              2.5118               1.5616             1.8042              0.4537              0.5328               0.0000              0.0000               0.0119             0.0155              0.8097             0.9674              0.2564            0.2993             1.0923            1.2939             0.8297             0.9622              2.1895                 2.5283                  0.1349                       0.1560                        
76        0.6044          0.6979           2.1820              2.5203               1.5790             1.8242              0.4617              0.5430               0.0000              0.0000               0.0119             0.0157              0.7974             0.9539              0.2622            0.3058             1.1003            1.3037             0.8281             0.9605              2.1776                 2.5145                  0.1292                       0.1494                        
77        0.6082          0.7023           2.1805              2.5187               1.5779             1.8230              0.4433              0.5210               0.0000              0.0000               0.0111             0.0150              0.8001             0.9567              0.2495            0.2915             1.1050            1.3090             0.8343             0.9677              2.1795                 2.5167                  0.1346                       0.1555                        
78        0.6082          0.7024           2.1953              2.5357               1.5768             1.8219              0.4341              0.5114               0.0000              0.0000               0.0115             0.0153              0.7797             0.9336              0.2587            0.3023             1.1250            1.3335             0.8251             0.9579              2.1742                 2.5105                  0.1284                       0.1483                        
79        0.6090          0.7032           2.2101              2.5531               1.6021             1.8512              0.4256              0.5011               0.0000              0.0000               0.0108             0.0147              0.7962             0.9523              0.2322            0.2730             1.1323            1.3414             0.8285             0.9623              2.1807                 2.5181                  0.1257                       0.1454                        
80        0.6017          0.6948           2.1938              2.5342               1.5866             1.8333              0.4298              0.5066               0.0000              0.0000               0.0108             0.0147              0.8108             0.9698              0.2130            0.2520             1.1396            1.3500             0.8258             0.9591              2.1557                 2.4892                  0.1161                       0.1342                        
81        0.6113          0.7059           2.2130              2.5567               1.6002             1.8493              0.4079              0.4818               0.0000              0.0000               0.0100             0.0136              0.7905             0.9475              0.2072            0.2453             1.1622            1.3771             0.8301             0.9647              2.1722                 2.5083                  0.1192                       0.1378                        
82        0.6071          0.7011           2.2219              2.5674               1.6144             1.8660              0.4018              0.4775               0.0000              0.0000               0.0100             0.0136              0.7801             0.9378              0.2122            0.2531             1.1669            1.3831             0.8308             0.9663              2.1722                 2.5083                  0.1115                       0.1291                        
83        0.6125          0.7073           2.2263              2.5719               1.6206             1.8730              0.3818              0.4523               0.0000              0.0000               0.0096             0.0133              0.7697             0.9264              0.2003            0.2391             1.1857            1.4058             0.8347             0.9715              2.1549                 2.4884                  0.1053                       0.1227                        
