#num_of_iter: 10
#num_of_exper: 1
#rows: 22
#cols: 22
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 4025213827570813385
#iter     f_C          f_C_corr          av_sum          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_final          f_cr_0s          f_cr_1s          
0         0.5475       0.0000            0.1836          0.2125          0.2025          0.1850        0.1875        0.2125         0.0000              0.0000                    0.0000           0.0025           
1         0.5450       0.0000            0.1911          0.2400          0.1650          0.1725        0.2075        0.2150         0.2475              0.2275                    0.0150           0.0150           
2         0.5250       0.0074            0.1982          0.2075          0.1600          0.2075        0.1975        0.2275         0.3450              0.1450                    0.0100           0.0100           
3         0.4975       0.0133            0.2104          0.1925          0.1700          0.2175        0.1950        0.2250         0.3225              0.1025                    0.0100           0.0025           
4         0.4875       0.0163            0.2105          0.1650          0.1800          0.2300        0.2075        0.2175         0.3925              0.1475                    0.0125           0.0175           
5         0.4450       0.0237            0.2326          0.1450          0.1925          0.2575        0.1900        0.2150         0.4000              0.1100                    0.0150           0.0025           
6         0.4225       0.0237            0.2377          0.1325          0.2125          0.2750        0.1800        0.2000         0.5075              0.1500                    0.0425           0.0125           
7         0.4000       0.0281            0.2481          0.1300          0.1875          0.3200        0.1675        0.1950         0.4900              0.0975                    0.0300           0.0000           
8         0.3800       0.0311            0.2449          0.1250          0.1925          0.3425        0.1800        0.1600         0.5325              0.1100                    0.0400           0.0025           
9         0.3825       0.0325            0.2510          0.1200          0.2175          0.3400        0.1675        0.1550         0.5325              0.0900                    0.0550           0.0025           
