#num_of_iter: 10
#num_of_exper: 1
#rows: 22
#cols: 22
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 4025213827570813385
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
0         0.1351        0.1351        0.0946        0.1892        0.0811        0.1216        0.1216        0.0541        0.0676        0.1333        0.1333        0.0667        0.1067        0.1200        0.1067        0.1467        0.1333        0.0533        0.1059         0.1647         0.0941         0.1176         0.1059         0.0941         0.1294         0.0824         0.1059         
1         0.1594        0.1449        0.1449        0.1594        0.0870        0.0870        0.1159        0.0725        0.0290        0.1325        0.0602        0.0482        0.1084        0.1566        0.1084        0.1807        0.1566        0.0482        0.0698         0.1977         0.0814         0.1163         0.1163         0.0930         0.1279         0.0814         0.1163         
2         0.1566        0.1687        0.2169        0.1205        0.0723        0.0843        0.0843        0.0723        0.0241        0.1266        0.1013        0.0380        0.1139        0.1899        0.0886        0.1899        0.1139        0.0380        0.0769         0.1868         0.1429         0.1319         0.0989         0.0769         0.0989         0.0879         0.0989         
3         0.1264        0.2069        0.2644        0.1034        0.0575        0.0805        0.0805        0.0690        0.0115        0.1923        0.0769        0.0385        0.0897        0.1923        0.0897        0.1795        0.1154        0.0256        0.0778         0.2111         0.1444         0.1111         0.0889         0.0778         0.0778         0.1222         0.0889         
4         0.0870        0.1087        0.4022        0.0652        0.0761        0.0652        0.0761        0.0652        0.0543        0.1928        0.0964        0.0361        0.1566        0.1807        0.0843        0.1325        0.0964        0.0241        0.0460         0.2069         0.2184         0.1034         0.0805         0.0460         0.0805         0.1264         0.0920         
5         0.0777        0.0874        0.5049        0.0485        0.0777        0.0485        0.0680        0.0583        0.0291        0.2105        0.0658        0.0395        0.1579        0.1974        0.0789        0.1316        0.0921        0.0263        0.0349         0.2093         0.2093         0.1047         0.0814         0.0465         0.0814         0.1395         0.0930         
6         0.0727        0.0818        0.6000        0.0364        0.0545        0.0182        0.0545        0.0545        0.0273        0.2361        0.1806        0.0278        0.0694        0.1944        0.0556        0.1250        0.0833        0.0278        0.0375         0.2250         0.2125         0.0750         0.0875         0.0375         0.0750         0.1500         0.1000         
7         0.0547        0.0859        0.6953        0.0312        0.0312        0.0156        0.0391        0.0469        0.0000        0.2836        0.1194        0.0299        0.0746        0.1940        0.0448        0.1343        0.0896        0.0299        0.0385         0.2179         0.2179         0.0641         0.1026         0.0256         0.0769         0.1538         0.1026         
8         0.0511        0.1022        0.7007        0.0292        0.0219        0.0146        0.0365        0.0438        0.0000        0.2639        0.1806        0.0278        0.0694        0.1806        0.0556        0.1111        0.0833        0.0278        0.0469         0.1719         0.2188         0.0781         0.0938         0.0156         0.0938         0.1562         0.1250         
9         0.0515        0.0515        0.7574        0.0294        0.0221        0.0147        0.0368        0.0368        0.0000        0.2836        0.1343        0.0299        0.0448        0.2239        0.0597        0.1194        0.0746        0.0299        0.0484         0.1613         0.2097         0.0806         0.0968         0.0161         0.0968         0.1613         0.1290         
