#num_of_iter: 100
#num_of_exper: 11
#rows: 51
#cols: 51
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 4526043691492536851
#iter         f_C          f_C_corr        av_sum      f_allC      f_allD        f_kD        f_kC        f_kDC       f_strat_ch      f_0D        f_1D        f_2D        f_3D        f_4D        f_5D        f_6D        f_7D        f_8D        f_0C        f_1C        f_2C        f_3C        f_4C        f_5C        f_6C        f_7C        f_8C        f_0DC       f_1DC       f_2DC       f_3DC       f_4DC        f_5DC       f_6DC       f_7DC       f_8DC
0             0.489        0.0046          0.1323           0.1833      0.2057        0.1991      0.2024      0.2095      1.0             0.113      0.1297      0.0941      0.1025      0.113      0.1213      0.1004      0.1109       0.1151      0.1337      0.1214      0.1173      0.1091       0.1193      0.1029      0.1008      0.0844      0.1111      0.1352      0.1113      0.1252      0.1193      0.0915       0.0994      0.0855      0.1133      0.1193
1             0.4844        0.0062          0.1338           0.1803      0.2087        0.2116      0.1899      0.2095      1.0             0.1496      0.1181      0.0984      0.0965      0.0866      0.1024      0.1102      0.1122       0.126      0.1579      0.1272      0.1184      0.0833       0.1338      0.1075      0.1031      0.0658      0.1031      0.1332      0.1034      0.1213      0.1272      0.0815       0.0954      0.0934      0.1252      0.1193
2             0.4736        0.0096          0.1391           0.1712      0.217        0.2195      0.1828      0.2095      1.0             0.1803      0.1309      0.1328      0.0683      0.0987      0.0911      0.0949      0.0892       0.1139      0.1503      0.1663      0.1025      0.0866       0.1367      0.1139      0.0957      0.0615      0.0866      0.1233      0.0875      0.1133      0.1074      0.0835       0.0915      0.0915      0.159      0.1431
3             0.4502        0.0217          0.154           0.1628      0.2307        0.2166      0.1737      0.2162      1.0             0.1942      0.1192      0.1365      0.075      0.0942      0.0846      0.0942      0.0827       0.1192      0.1559      0.1942      0.1007      0.0791       0.1463      0.1079      0.0743      0.0647      0.0767      0.1118      0.0713      0.1118      0.1002      0.0751       0.0886      0.1156      0.1676      0.158
4             0.4165        0.0242          0.1592           0.1474      0.2507        0.2116      0.1728      0.2174      1.0             0.2461      0.1457      0.1299      0.0689      0.0866      0.0591      0.0866      0.063       0.1142      0.1494      0.2048      0.1325      0.0699       0.1205      0.1036      0.0771      0.0482      0.094      0.0881      0.0709      0.1034      0.092      0.0556       0.0939      0.1379      0.1762      0.182
5             0.3832        0.0362          0.1796           0.1341      0.2828        0.207      0.1674      0.2087      1.0             0.2716      0.1348      0.1791      0.0584      0.0724      0.0463      0.0724      0.0584       0.1066      0.1493      0.2239      0.1468      0.0672       0.1194      0.092      0.0746      0.0473      0.0796      0.0898      0.0539      0.0978      0.0958      0.0499       0.0739      0.1477      0.1916      0.1996
6             0.3594        0.0433          0.1879           0.1141      0.312        0.2103      0.1504      0.2132      1.0             0.297      0.1545      0.1802      0.0574      0.0713      0.0416      0.0614      0.0495       0.0871      0.1468      0.2188      0.1607      0.0609       0.1385      0.0748      0.072      0.0443      0.0831      0.0859      0.0449      0.0762      0.084      0.041       0.0605      0.1484      0.2051      0.2539
7             0.3303        0.06          0.2098           0.102      0.339        0.207      0.132      0.2199      1.0             0.3159      0.159      0.1911      0.0483      0.0644      0.0262      0.0624      0.0523       0.0805      0.1388      0.224      0.1798      0.0568       0.1325      0.0757      0.0789      0.0347      0.0789      0.072      0.0436      0.0644      0.072      0.0341       0.0625      0.1364      0.2443      0.2708
8             0.2974        0.07          0.2306           0.0829      0.3798        0.2062      0.1133      0.2178      1.0             0.3838      0.202      0.1535      0.0424      0.0566      0.0182      0.0465      0.0323       0.0646      0.125      0.2647      0.1949      0.0551       0.114      0.0625      0.0735      0.0294      0.0809      0.0669      0.0344      0.0574      0.0459      0.0325       0.0497      0.1128      0.2562      0.3442
9             0.2774        0.0829          0.2484           0.0654      0.4111        0.202      0.0975      0.2241      1.0             0.4103      0.2124      0.1464      0.0495      0.0515      0.0103      0.0412      0.0268       0.0515      0.1453      0.3419      0.1496      0.0427       0.0897      0.0641      0.0641      0.0299      0.0726      0.0576      0.0297      0.0483      0.0428      0.026       0.0539      0.0892      0.2602      0.3922
10             0.2478        0.09          0.2561           0.0487      0.4357        0.2074      0.08      0.2282      1.0             0.4819      0.2008      0.1386      0.0442      0.0361      0.01      0.0261      0.0201       0.0422      0.125      0.3594      0.1615      0.0469       0.0938      0.0573      0.0573      0.026      0.0729      0.0529      0.0219      0.0401      0.0347      0.0164       0.042      0.0967      0.2755      0.4197
11             0.2291        0.107          0.2852           0.0358      0.4715        0.202      0.0733      0.2174      1.0             0.499      0.2186      0.1381      0.0412      0.0144      0.0082      0.0247      0.0206       0.0351      0.125      0.3977      0.1591      0.0511       0.0682      0.0511      0.0568      0.017      0.0739      0.0479      0.0134      0.0402      0.0345      0.0096       0.0402      0.0862      0.2701      0.4579
12             0.2203        0.1129          0.2933           0.03      0.4865        0.1983      0.0708      0.2145      1.0             0.5714      0.1828      0.1408      0.0357      0.0042      0.0063      0.0168      0.0168       0.0252      0.1471      0.4647      0.1294      0.0294       0.0529      0.0412      0.0529      0.0176      0.0647      0.0466      0.0117      0.0291      0.0485      0.0019       0.0291      0.0913      0.2583      0.4835
13             0.2082        0.1183          0.3013           0.0242      0.4944        0.2028      0.0562      0.2224      1.0             0.5647      0.1992      0.1335      0.0452      0.0041      0.0041      0.0144      0.0164       0.0185      0.1852      0.4815      0.1185      0.0148       0.0519      0.0296      0.0519      0.0074      0.0593      0.0393      0.0094      0.0262      0.0337      0.0019       0.0243      0.0843      0.2622      0.5187
14             0.1953        0.1183          0.3037           0.0221      0.4985        0.1987      0.0471      0.2337      1.0             0.631      0.1321      0.153      0.0314      0.0042      0.0084      0.0126      0.0168       0.0105      0.177      0.5221      0.0973      0.0       0.0619      0.0177      0.0619      0.0      0.0619      0.0339      0.0089      0.025      0.0178      0.0018       0.0107      0.0695      0.2585      0.574
15             0.192        0.1179          0.3041           0.02      0.4927        0.1978      0.0421      0.2474      1.0             0.6105      0.1747      0.1347      0.0358      0.0042      0.0063      0.0063      0.0168       0.0105      0.198      0.495      0.099      0.0       0.0594      0.0198      0.0693      0.0      0.0594      0.032      0.0084      0.0219      0.0084      0.0       0.0067      0.0657      0.2559      0.601
16             0.1937        0.1262          0.3162           0.0208      0.5135        0.1874      0.025      0.2532      1.0             0.6533      0.1956      0.0889      0.0244      0.0044      0.0022      0.0044      0.0178       0.0089      0.1667      0.3833      0.1167      0.0       0.1      0.0333      0.15      0.0      0.05      0.0329      0.0066      0.0214      0.0066      0.0       0.0066      0.0378      0.273      0.6151
17             0.1878        0.1287          0.3317           0.0196      0.5052        0.1887      0.0175      0.2691      1.0             0.6424      0.2031      0.0949      0.0221      0.0044      0.0022      0.0044      0.0177       0.0088      0.0952      0.4286      0.119      0.0       0.1429      0.0476      0.119      0.0      0.0476      0.0232      0.0062      0.0201      0.0062      0.0       0.0062      0.0325      0.2895      0.6161
18             0.187        0.1279          0.3215           0.0187      0.5044        0.1841      0.0129      0.2799      1.0             0.6267      0.2353      0.0882      0.0136      0.0045      0.0023      0.0023      0.0181       0.009      0.0645      0.3871      0.0968      0.0       0.1935      0.0645      0.129      0.0      0.0645      0.0283      0.006      0.0223      0.006      0.0       0.006      0.0298      0.2917      0.6101
19             0.1862        0.1324          0.3334           0.0179      0.516        0.1753      0.01      0.2807      1.0             0.6295      0.228      0.095      0.0166      0.0048      0.0      0.0      0.0166       0.0095      0.0833      0.0417      0.0833      0.0       0.25      0.0833      0.375      0.0      0.0833      0.0208      0.0059      0.0163      0.0045      0.0       0.0015      0.0193      0.3205      0.6113
20             0.1895        0.1445          0.3559           0.0175      0.5298        0.1554      0.0087      0.2886      1.0             0.6273      0.2466      0.0831      0.0188      0.0054      0.0      0.0      0.0107       0.008      0.0476      0.0952      0.0952      0.0       0.2381      0.0952      0.3333      0.0      0.0952      0.0216      0.0058      0.013      0.0101      0.0       0.0      0.0159      0.3218      0.6118
21             0.1862        0.1412          0.3443           0.0167      0.5269        0.1433      0.0071      0.3061      1.0             0.6163      0.2529      0.0843      0.0233      0.0058      0.0      0.0      0.0058       0.0116      0.0      0.1176      0.1176      0.0       0.2353      0.1176      0.2941      0.0      0.1176      0.0177      0.0054      0.0163      0.0082      0.0       0.0      0.015      0.3456      0.5918
